Date : 2026-01-12 05:10:08
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 220 files,  23785 codes, 2467 comments, 2359 blanks, all 28611 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |         80 |      9,725 |      1,302 |        713 |     11,740 |
| C          |         16 |      6,823 |        108 |        295 |      7,226 |
| ARM        |        103 |      3,404 |      1,004 |        814 |      5,222 |
| HTML       |          5 |      2,842 |         17 |        420 |      3,279 |
| JavaScript |          6 |        627 |         28 |         49 |        704 |
| YAML       |          1 |        126 |          2 |         27 |        155 |
| JSON       |          3 |        114 |          0 |          3 |        117 |
| Markdown   |          2 |         58 |          0 |         17 |         75 |
| Python     |          2 |         44 |          0 |         11 |         55 |
| Makefile   |          1 |         21 |          6 |         10 |         37 |
| PostCSS    |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        220 |     23,785 |      2,467 |      2,359 |     28,611 |
| . (Files)                                                                                 |          2 |         76 |          6 |         26 |        108 |
| .github                                                                                   |          1 |        126 |          2 |         27 |        155 |
| .github/workflows                                                                         |          1 |        126 |          2 |         27 |        155 |
| backup                                                                                    |         64 |      7,900 |      1,048 |        537 |      9,485 |
| backup (Files)                                                                            |          6 |      1,583 |        119 |         99 |      1,801 |
| backup/codegen                                                                            |          7 |        573 |        103 |         55 |        731 |
| backup/parser                                                                             |         38 |      5,033 |        682 |        288 |      6,003 |
| backup/parser (Files)                                                                     |          7 |      1,742 |        151 |         88 |      1,981 |
| backup/parser/directives                                                                  |          7 |        347 |         96 |          8 |        451 |
| backup/parser/expression                                                                  |         13 |      1,424 |        269 |        124 |      1,817 |
| backup/parser/expression (Files)                                                          |          3 |        492 |         71 |         24 |        587 |
| backup/parser/expression/buffer                                                           |          6 |        723 |         96 |         87 |        906 |
| backup/parser/expression/flow                                                             |          4 |        209 |        102 |         13 |        324 |
| backup/parser/next_var                                                                    |          6 |        877 |         91 |         41 |      1,009 |
| backup/parser/properties                                                                  |          1 |        217 |         25 |          9 |        251 |
| backup/parser/returns                                                                     |          2 |        260 |         33 |          9 |        302 |
| backup/parser/tostr                                                                       |          2 |        166 |         17 |          9 |        192 |
| backup/utils                                                                              |         13 |        711 |        144 |         95 |        950 |
| docs                                                                                      |          8 |      2,856 |         27 |        421 |      3,304 |
| docs (Files)                                                                              |          5 |      2,428 |         27 |        366 |      2,821 |
| docs/blog                                                                                 |          1 |        426 |          0 |         55 |        481 |
| docs/vendor                                                                               |          2 |          2 |          0 |          0 |          2 |
| docs/vendor/prism                                                                         |          2 |          2 |          0 |          0 |          2 |
| lsp                                                                                       |          9 |        743 |         28 |         53 |        824 |
| lsp (Files)                                                                               |          8 |        698 |         28 |         52 |        778 |
| lsp/syntaxes                                                                              |          1 |         45 |          0 |          1 |         46 |
| self                                                                                      |          3 |        448 |         25 |         29 |        502 |
| src                                                                                       |          8 |      1,021 |         62 |         68 |      1,151 |
| std                                                                                       |         25 |      2,907 |        853 |        585 |      4,345 |
| std (Files)                                                                               |         13 |      1,269 |        370 |        249 |      1,888 |
| std/core                                                                                  |          5 |        735 |        234 |        188 |      1,157 |
| std/mem                                                                                   |          4 |        382 |         73 |         69 |        524 |
| std/runtime                                                                               |          3 |        521 |        176 |         79 |        776 |
| tests                                                                                     |        100 |      7,708 |        416 |        613 |      8,737 |
| tests/app                                                                                 |         11 |      2,169 |         73 |        105 |      2,347 |
| tests/qualitative                                                                         |         28 |        916 |        109 |        125 |      1,150 |
| tests/unit                                                                                |         61 |      4,623 |        234 |        383 |      5,240 |
| tests/unit (Files)                                                                        |          7 |      1,864 |         51 |         89 |      2,004 |
| tests/unit/buffers                                                                        |          9 |         99 |         24 |         35 |        158 |
| tests/unit/resources                                                                      |         21 |      1,989 |         99 |        139 |      2,227 |
| tests/unit/service                                                                        |          5 |        184 |         10 |         34 |        228 |
| tests/unit/tutorial                                                                       |          7 |         71 |         10 |         16 |         97 |
| tests/unit/types                                                                          |         12 |        416 |         40 |         70 |        526 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/maniospas/Desktop/p4ot/smol/.github/workflows/release.yml                           | YAML       |        126 |          2 |         27 |        155 |
| /home/maniospas/Desktop/p4ot/smol/Makefile                                                | Makefile   |         21 |          6 |         10 |         37 |
| /home/maniospas/Desktop/p4ot/smol/README.md                                               | Markdown   |         55 |          0 |         16 |         71 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen.h                                        | C++        |         78 |          0 |         10 |         88 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/codegen.cpp                              | C++        |        126 |         17 |         10 |        153 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/codegen_all.cpp                          | C++        |        105 |         13 |          7 |        125 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/codegen_sync.cpp                         | C++        |         52 |         15 |         14 |         81 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/handle_def_of_service.cpp                | C++        |         94 |         13 |          5 |        112 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/handle_include.cpp                       | C++        |        107 |         21 |          7 |        135 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/handle_install.cpp                       | C++        |         45 |         12 |          3 |         60 |
| /home/maniospas/Desktop/p4ot/smol/backup/codegen/handle_union.cpp                         | C++        |         44 |         12 |          9 |         65 |
| /home/maniospas/Desktop/p4ot/smol/backup/def.cpp                                          | C++        |         72 |         12 |          6 |         90 |
| /home/maniospas/Desktop/p4ot/smol/backup/def.h                                            | C++        |        304 |         25 |         26 |        355 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/assign_variable.cpp                       | C++        |        120 |         15 |          2 |        137 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/call_type.cpp                             | C++        |        543 |         29 |         27 |        599 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive.cpp            | C++        |         76 |         12 |          2 |         90 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive_body.cpp       | C++        |         46 |         13 |          1 |         60 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive_fail.cpp       | C++        |         53 |         12 |          1 |         66 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive_finally.cpp    | C++        |         59 |         12 |          1 |         72 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive_head.cpp       | C++        |         30 |         12 |          1 |         43 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive_link.cpp       | C++        |         27 |         12 |          1 |         40 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/directives/parse_directive_release.cpp    | C++        |         56 |         23 |          1 |         80 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/buffer/parse_buffer_create.cpp | C++        |        131 |         19 |          5 |        155 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/buffer/parse_buffer_expect.cpp | C++        |        132 |         17 |         16 |        165 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/buffer/parse_buffer_len.cpp    | C++        |         47 |         12 |          3 |         62 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/buffer/parse_buffer_pop.cpp    | C++        |        141 |         12 |         28 |        181 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/buffer/parse_buffer_push.cpp   | C++        |        151 |         19 |         21 |        191 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/buffer/parse_buffer_put.cpp    | C++        |        121 |         17 |         14 |        152 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/flow/parse_if.cpp              | C++        |         88 |         32 |          4 |        124 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/flow/parse_on.cpp              | C++        |         12 |         35 |          3 |         50 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/flow/parse_while.cpp           | C++        |         29 |         16 |          2 |         47 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/flow/parse_with.cpp            | C++        |         80 |         19 |          4 |        103 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/parse_expression.cpp           | C++        |        173 |         31 |         14 |        218 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/parse_primitive.cpp            | C++        |         20 |         14 |          2 |         36 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/expression/parse_runtype.cpp              | C++        |        299 |         26 |          8 |        333 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/gather_tuple.cpp                          | C++        |        104 |         12 |          5 |        121 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var.cpp                     | C++        |         78 |         13 |          3 |         94 |
| /home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_and.cpp                 | C++        |         68 |         12 |          2 |         82 |
